Zeitstempel,Select the section you were instructed to complete:,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency,Historical Informativeness,Fluency
17.07.2024 20:30:58,Section 1,5,5,3,4,4,5,3,5,4,5,4,2,3,4,3,4,4,3,3,1,1,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.07.2024 11:59:29,Section 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,3,5,4,5,4,5,5,3,4,5,4,4,4,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.07.2024 18:24:26,Section 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.07.2024 15:56:19,Section 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,3,4,3,3,2,1,3,4,4,5,4,5,2,4,4,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.07.2024 15:47:00,Section 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,2,4,3,4,5,3,1,2,4,4,2,5,4,3,3,2,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,
21.07.2024 11:11:24,Section 2,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.07.2024 14:26:50,Section 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3,4,3,1,4,4,4,4,3,3,4,3,2,1,3,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.07.2024 19:44:31,Section 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,2,2,4,4,1,3,5,5,2,4,4,4,5,4,5,3,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.07.2024 12:23:13,Section 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.07.2024 19:30:17,Section 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,5,4,5,3,4,3,5,4,5,3,5,4,5,4,5,5,5,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
